ID,Категория,Название,Размер,Количество,Цена,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Капсула,Описание,,
14,Жилетка,Жилетка премиум (синяя),3XL,4,27000,https://i.ibb.co/LXSqyfbZ/image.jpg,https://i.ibb.co/VcdSRYgw/image.jpg,https://i.ibb.co/yBmKtMfc/image.jpg,,Синяя,"Жилетка премиум (синяя) для менеджеров. Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: синий. Нанесение (спереди и сзади): вышивка (плотная). Материал: Ткань, плащевка , влагостойкий, 50% полиэстер, 50% холлофайбер  (цвет синий).",FALSE,FALSE
14,Жилетка,Жилетка премиум (синяя),4XL,4,27000,https://i.ibb.co/LXSqyfbZ/image.jpg,https://i.ibb.co/VcdSRYgw/image.jpg,https://i.ibb.co/yBmKtMfc/image.jpg,,Синяя,"Жилетка премиум (синяя) для менеджеров. Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: синий. Нанесение (спереди и сзади): вышивка (плотная). Материал: Ткань, плащевка , влагостойкий, 50% полиэстер, 50% холлофайбер  (цвет синий).",FALSE,FALSE
14,Жилетка,Жилетка премиум (синяя),5XL,3,27000,https://i.ibb.co/LXSqyfbZ/image.jpg,https://i.ibb.co/VcdSRYgw/image.jpg,https://i.ibb.co/yBmKtMfc/image.jpg,,Синяя,"Жилетка премиум (синяя) для менеджеров. Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: синий. Нанесение (спереди и сзади): вышивка (плотная). Материал: Ткань, плащевка , влагостойкий, 50% полиэстер, 50% холлофайбер  (цвет синий).",FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),M,3,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),L,7,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),XL,16,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),2XL,20,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),3XL,10,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),4XL,8,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
15,Жилетка,Жилетка стандарт (синяя),5XL,4,27000,https://i.ibb.co/GZg5ZjM/image.jpg,https://i.ibb.co/0RwJ0PQj/image.jpg,,,Синяя,,FALSE,FALSE
16,Жилетка,Жилетка премиум (черная),M,1,33000,https://i.ibb.co/tp6d4msb/image.jpg,,,,Черная,Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: черный. Нанесение (спереди и сзади): ДТФ /вышивка.,FALSE,FALSE
18,Футболки,Футболка классика синяя (стандарт),S,1,3100,https://i.ibb.co/Cs9jC89M/image.jpg,https://i.ibb.co/TMrGR2Mq/image.jpg,https://i.ibb.co/4gJXSHCV/Whats-App-Image-2026-03-12-at-17-56-10.jpg,,Синяя,Модель: футболка,FALSE,FALSE
18,Футболки,Футболка классика синяя (стандарт),M,1,3100,https://i.ibb.co/Cs9jC89M/image.jpg,https://i.ibb.co/TMrGR2Mq/image.jpg,https://i.ibb.co/4gJXSHCV/Whats-App-Image-2026-03-12-at-17-56-10.jpg,,Синяя,Модель: футболка,FALSE,FALSE
18,Футболки,Футболка классика синяя (стандарт),L,1,3100,https://i.ibb.co/Cs9jC89M/image.jpg,https://i.ibb.co/TMrGR2Mq/image.jpg,https://i.ibb.co/4gJXSHCV/Whats-App-Image-2026-03-12-at-17-56-10.jpg,,Синяя,Модель: футболка,FALSE,FALSE
18,Футболки,Футболка классика синяя (стандарт),XL,1,3100,https://i.ibb.co/Cs9jC89M/image.jpg,https://i.ibb.co/TMrGR2Mq/image.jpg,https://i.ibb.co/4gJXSHCV/Whats-App-Image-2026-03-12-at-17-56-10.jpg,,Синяя,Модель: футболка,FALSE,FALSE
18,Футболки,Футболка классика синяя (стандарт),2XL,1,3100,https://i.ibb.co/Cs9jC89M/image.jpg,https://i.ibb.co/TMrGR2Mq/image.jpg,https://i.ibb.co/4gJXSHCV/Whats-App-Image-2026-03-12-at-17-56-10.jpg,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),3XL,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),4XL,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),5XL,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),S,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),M,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),L,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),XL,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
19,Футболки,Футболка классика синяя (Big Size),2XL,1,3400,https://i.ibb.co/kgPJPzJf/image.jpg,https://i.ibb.co/xKNJJcwv/image.jpg,,,Синяя,Модель: футболка,FALSE,FALSE
20,Футболки,Футболка классика черная,S,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
20,Футболки,Футболка классика черная,M,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
20,Футболки,Футболка классика черная,L,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
20,Футболки,Футболка классика черная,XL,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
20,Футболки,Футболка классика черная,2XL,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
20,Футболки,Футболка классика черная,3XL,1,3400,https://i.ibb.co/23r3cxXW/image.jpg,https://i.ibb.co/PZP7vHwW/55.png,https://i.ibb.co/TBjSxsqz/image.jpg,,Черная,Модель: футболка,FALSE,
22,Аксессуары,Ручка шариковая черная,one size,33,250,https://i.ibb.co/Kpft3gzQ/25.png,,,,Черная,Корпус ручки с приятным тактильным soft-touch покрытием. Пластиковая ручка в приятном ярком бархатистом корпусе.,FALSE,
24,Свитшоты,Свитшот классика синий,XL,1,10591,https://i.ibb.co/hJbkVC9r/15.png,https://i.ibb.co/fdL9BcBQ/16.png,https://i.ibb.co/5xtndj6f/image.jpg,,Синяя,Универсальный свитшот премиального качества для повседневной носки и корпоративного стиля. 100 % хлопок.,FALSE,
24,Свитшоты,Свитшот классика синий,2XL,1,10591,https://i.ibb.co/hJbkVC9r/15.png,https://i.ibb.co/fdL9BcBQ/16.png,https://i.ibb.co/5xtndj6f/image.jpg,,Синяя,Универсальный свитшот премиального качества для повседневной носки и корпоративного стиля. 100 % хлопок.,FALSE,
29,Поло,Поло с орнаментом,S,1,6100,https://i.ibb.co/rRWSSjZc/image.jpg,https://i.ibb.co/Gv4p49rS/image.jpg,,,Синяя,Состав: 100% хлопок. Плотность: 165-175 гр. Брендирование: национальный казахский орнамент.,FALSE,
29,Поло,Поло с орнаментом,M,1,6100,https://i.ibb.co/rRWSSjZc/image.jpg,https://i.ibb.co/Gv4p49rS/image.jpg,,,Синяя,Состав: 100% хлопок. Плотность: 165-175 гр. Брендирование: национальный казахский орнамент.,FALSE,
29,Поло,Поло с орнаментом,XL,1,6100,https://i.ibb.co/rRWSSjZc/image.jpg,https://i.ibb.co/Gv4p49rS/image.jpg,,,Синяя,Состав: 100% хлопок. Плотность: 165-175 гр. Брендирование: национальный казахский орнамент.,FALSE,
29,Поло,Поло с орнаментом,3XL,2,6100,https://i.ibb.co/rRWSSjZc/image.jpg,https://i.ibb.co/Gv4p49rS/image.jpg,,,Синяя,Состав: 100% хлопок. Плотность: 165-175 гр. Брендирование: национальный казахский орнамент.,FALSE,
30,Аксессуары,Комплект двухрожковый флагшток,,1,5500,https://i.ibb.co/mV8C4TzG/image.jpg,,,,Синяя,"Комплект ( габардинов флаг Арт и КЗ,  двухрожковые флагшток  (серебр)  25*25.",FALSE,
5,Кепки,Кепка синяя,,0,3500,https://i.ibb.co/MyvYVznc/image.jpg,https://i.ibb.co/Nqrjfv9/image.jpg,https://i.ibb.co/hrW3zSS/image.jpg,,Синяя,"Кепка бейсболка выполнена из качественного материала, обеспечивая комфорт и защиту от солнца. Кепка имеет регулируемый размер, что позволяет подобрать ее под любую голову.",TRUE,FALSE
6,Кепки,Кепка черная,,0,3500,https://i.ibb.co/pr2Jsg5j/1.jpg,https://i.ibb.co/0ThsfYF/image.jpg,,,Черная,"Кепка бейсболка выполнена из качественного материала, обеспечивая комфорт и защиту от солнца. Цвет: черный. Кепка имеет регулируемый размер, что позволяет подобрать ее под любую голову.",TRUE,FALSE
7,Аксессуары,Термобутылка серая,,10,5000,https://i.ibb.co.com/j98wJLyj/10.png,https://i.ibb.co.com/LhZPrz03/image.jpg,https://i.ibb.co.com/fY3cXMxT/image.jpg,,Серая,"Термобутылка 550 мл. Материал: нержавеющая сталь с soft-touch покрытием, двойной корпус с вакуумной изоляцией",FALSE,FALSE
8,Аксессуары,Термобутылка черная,,7,5000,https://i.ibb.co.com/23Vx2C0R/11.png,https://i.ibb.co.com/tTsXVBQB/image.jpg,https://i.ibb.co.com/Zzz5zQFf/image.jpg,,Черная,,FALSE,FALSE
10,Шапки,Флисовая шапка,,7,3500,https://i.ibb.co/PJqtv1m/image.jpg,https://i.ibb.co/Z63ZKQ7t/image.jpg,,,Серая,"Флисовая шапка - идеальный выбор для зимнего сезона. Цвет: серый. Размер: 57-58 см, подходит как для мужчин, так и для женщин.",FALSE,FALSE
11,Аксессуары,Ручка серая,,13,500,https://i.ibb.co.com/YBcBmJf5/13.png,,,,Серая,Шариковая ручка с синей пастой. Ручка с покрытием soft-touch +стилус.,FALSE,FALSE
13,Аксессуары,Ежедневник синий,,0,3800,https://i.ibb.co.com/60DfDByj/23.png,,,,Синяя,"Формат A5, Кол-во листов 128. Материал обложки: искусственная кожа с покрытием soft-touch. Обложка - мягкая.
Внутренние листы: линейка.",TRUE,FALSE
17,Аксессуары,Термокружка Blue soft touch 600 мл,,0,5000,https://i.ibb.co/XfhZ0XsV/21.png,,,,Синяя,"Кружка из высококачественной стали и покрытием кружки soft touch, с двойными стенками, с вакуумной изоляцией, и прозрачной крышкой. Материал: Сталь 304 и Soft touch. Емкость: 600 мл;",TRUE,FALSE
21,Аксессуары,Ручка синяя,,7,380,https://i.ibb.co/Lhp33qpG/24.png,,,,Синяя,Практичная шариковая ручка. Ручка сделана из прочного цветного пластика. Механизм нажимной. Цвет чернил - синий.,FALSE,FALSE
23,Аксессуары,Термокружка черная soft touch 600 мл,,20,5000,https://i.ibb.co/fzmHLBjW/20.png,,,,Черная,"Кружка из высококачественной стали и покрытием кружки soft touch, с двойными стенками, с вакуумной изоляцией, и прозрачной крышкой. Материал: Сталь 304 и Soft touch. Емкость: 600 мл;",FALSE,FALSE
25,Аксессуары,Кружки синие soft touch 350 мл,,0,3500,https://i.ibb.co/vCZ6Qvhw/26.png,,,,Синяя,Керамическая кружка с поверхностью soft touch 350 мл. Брендирование: гравировка. Роза с полной заливкой.,FALSE,TRUE
26,Аксессуары,Кружка серая soft touch 350 мл,,0,3500,https://i.ibb.co/b5Xp9Dcf/image.jpg,,,,Серая,Керамическая кружка с поверхностью soft touch.,TRUE,FALSE
27,Аксессуары,Кружка серая soft touch 350 мл (new),,5,3500,https://i.ibb.co/JjP0c8CN/new.jpg,,,,Синяя,Керамическая кружка с поверхностью soft touch. Цвет: синий. Брендирование: гравировка. Роза по контуру.,FALSE,FALSE
28,Аксессуары,Кружка стеклянная 250 мл.,,10,900,https://i.ibb.co/mpTx6Y4/image.jpg,https://i.ibb.co/zVDDfFrY/Whats-App-Image-2026-02-09-at-16-29-22.jpg,,,Белая,Кружки Pasabahce 250 мл.,FALSE,FALSE
